gate,language,total,passing,failing,pass_rate
length_ratio,Aka_Gha,14895,14684,211,0.9858
length_ratio,Amh_Eth,14760,14597,163,0.989
length_ratio,Eng_Eth,7830,7772,58,0.9926
length_ratio,Eng_Gha,7403,7358,45,0.9939
length_ratio,Eng_Ken,6186,5940,246,0.9602
length_ratio,Eng_Uga,7329,6463,866,0.8818
length_ratio,Lug_Uga,14814,13816,998,0.9326
length_ratio,Swa_Ken,12318,11586,732,0.9406
language_id,Aka_Gha,14684,0,14684,0.0
language_id,Amh_Eth,14597,13463,1134,0.9223
language_id,Eng_Eth,7772,7772,0,1.0
language_id,Eng_Gha,7358,7358,0,1.0
language_id,Eng_Ken,5940,5940,0,1.0
language_id,Eng_Uga,6463,6463,0,1.0
language_id,Lug_Uga,13816,13749,67,0.9952
language_id,Swa_Ken,11586,11586,0,1.0
toxicity,Amh_Eth,13463,12435,1028,0.9236
toxicity,Eng_Eth,7772,7702,70,0.991
toxicity,Eng_Gha,7358,7332,26,0.9965
toxicity,Eng_Ken,5940,5589,351,0.9409
toxicity,Eng_Uga,6463,6252,211,0.9674
toxicity,Lug_Uga,13749,13647,102,0.9926
toxicity,Swa_Ken,11586,11147,439,0.9621
semantic_relevance,Amh_Eth,12435,12435,0,1.0
semantic_relevance,Eng_Eth,7702,7702,0,1.0
semantic_relevance,Eng_Gha,7332,7332,0,1.0
semantic_relevance,Eng_Ken,5589,5589,0,1.0
semantic_relevance,Eng_Uga,6252,6252,0,1.0
semantic_relevance,Lug_Uga,13647,13647,0,1.0
semantic_relevance,Swa_Ken,11147,11147,0,1.0
